[2022-08-08 23:34:35.711031][Task_List] ['receive_energy', 'mission_explore', 'shopping', 'mission_arena', 'mission_gashapon', 'mission_guild', 'mission_dungeons', 'mission_princess_arena', 'mission_complete']
[2022-08-08 23:34:35.765719][Task] initial
[2022-08-08 23:35:23.480619][mission_gashapon][free_button][idle] 5.76 seconds
[2022-08-08 23:35:29.250740][Task] <click> ok_button
[2022-08-08 23:35:29.256603][mission_gashapon][ok_button][click] (779.0, 495.0)
[2022-08-08 23:35:29.266896][mission_gashapon][ok_button][idle] 11.91 seconds
[2022-08-08 23:35:41.183784][Task] <click> receive_button
[2022-08-08 23:35:41.191596][mission_gashapon][receive_button][click] (640.0, 594.0)
[2022-08-08 23:35:41.204292][mission_gashapon][receive_button][idle] 3.43 seconds
[2022-08-08 23:35:44.644448][Task] shopping
[2022-08-08 23:35:44.649331][Task] <click> main_button
[2022-08-08 23:35:44.655190][shopping][main_button][click] (111.0, 680.0)
[2022-08-08 23:35:44.664956][shopping][main_button][idle] 5.7 seconds
[2022-08-08 23:35:50.375683][Task] <click> shop_button
[2022-08-08 23:35:50.425488][shopping][shop_button][click] (829.0, 583.0)
[2022-08-08 23:35:50.436231][shopping][shop_button][idle] 5.68 seconds
[2022-08-08 23:35:56.129516][Task] <click> first_cargo
[2022-08-08 23:35:56.135376][shopping][first_cargo][click] (519.0, 196.0)
[2022-08-08 23:35:56.147095][shopping][first_cargo][idle] 1.65 seconds
[2022-08-08 23:35:57.811787][Task] <click> second_cargo
[2022-08-08 23:35:57.820577][shopping][second_cargo][click] (746.0, 195.0)
[2022-08-08 23:35:57.830343][shopping][second_cargo][idle] 3.58 seconds
[2022-08-08 23:36:01.416332][Task] <click> third_cargo
[2022-08-08 23:36:01.424145][shopping][third_cargo][click] (967.0, 201.0)
[2022-08-08 23:36:01.434887][shopping][third_cargo][idle] 3.53 seconds
[2022-08-08 23:36:04.971539][Task] <click> fourth_cargo
[2022-08-08 23:36:04.998884][shopping][fourth_cargo][click] (1195.0, 195.0)
[2022-08-08 23:36:05.009804][shopping][fourth_cargo][idle] 1.74 seconds
[2022-08-08 23:36:06.756616][Task] <click> buy_button
[2022-08-08 23:36:06.765405][shopping][buy_button][click] (1028.0, 580.0)
[2022-08-08 23:36:06.776150][shopping][buy_button][idle] 3.82 seconds
[2022-08-08 23:36:10.602539][Task] <click> ok_button
[2022-08-08 23:36:10.620120][shopping][ok_button][click] (791.0, 635.0)
[2022-08-08 23:36:10.631838][shopping][ok_button][idle] 3.1 seconds
[2022-08-08 23:36:13.737965][Task] <click> blank_button
[2022-08-08 23:36:13.770193][shopping][blank_button][click] (194.0, 207.0)
[2022-08-08 23:36:13.778982][shopping][blank_button][idle] 4.59 seconds
[2022-08-08 23:36:18.383688][Task] mission_guild
[2022-08-08 23:36:18.390524][Task] <click> main_button
[2022-08-08 23:36:18.396384][mission_guild][main_button][click] (133.0, 680.0)
[2022-08-08 23:36:18.406151][mission_guild][main_button][idle] 5.0 seconds
[2022-08-08 23:36:23.413481][Task] <click> guild_button
[2022-08-08 23:36:23.418366][mission_guild][guild_button][click] (924.0, 580.0)
[2022-08-08 23:36:23.429106][mission_guild][guild_button][idle] 6.87 seconds
[2022-08-08 23:36:30.305303][Task] <click> blank_button
[2022-08-08 23:36:30.312140][mission_guild][blank_button][click] (63.0, 142.0)
[2022-08-08 23:36:30.332515][mission_guild][blank_button][idle] 3.7 seconds
[2022-08-08 23:36:34.042325][Task] <click> friend_button
[2022-08-08 23:36:34.086272][mission_guild][friend_button][click] (315.0, 460.0)
[2022-08-08 23:36:34.095061][mission_guild][friend_button][idle] 6.93 seconds
[2022-08-08 23:36:41.032481][Task] <click> like_button
[2022-08-08 23:36:41.072522][mission_guild][like_button][click] (1105.0, 421.0)
[2022-08-08 23:36:41.107762][mission_guild][like_button][idle] 4.86 seconds
[2022-08-08 23:36:45.977440][Task] <click> blank_button
[2022-08-08 23:36:45.995996][mission_guild][blank_button][click] (66.0, 143.0)
[2022-08-08 23:36:46.009668][mission_guild][blank_button][idle] 5.63 seconds
[2022-08-08 23:36:51.646709][Task] mission_dungeons
[2022-08-08 23:36:51.677960][Task] <click> adventure_button
[2022-08-08 23:36:51.683819][mission_dungeons][adventure_button][click] (653.0, 681.0)
[2022-08-08 23:36:51.697491][mission_dungeons][adventure_button][idle] 5.11 seconds
[2022-08-08 23:36:56.818135][Task] <click> dungeons_button
[2022-08-08 23:36:56.863057][mission_dungeons][dungeons_button][click] (1161.0, 180.0)
[2022-08-08 23:36:56.876729][mission_dungeons][dungeons_button][idle] 5.24 seconds
[2022-08-08 23:37:02.131445][Task] <click> last_extreme_button
[2022-08-08 23:37:02.143165][mission_dungeons][last_extreme_button][click] (1114.0, 328.0)
[2022-08-08 23:37:02.167137][mission_dungeons][last_extreme_button][idle] 5.05 seconds
[2022-08-08 23:37:07.227255][Task] <click> ok_button
[2022-08-08 23:37:07.235068][mission_dungeons][ok_button][click] (789.0, 578.0)
[2022-08-08 23:37:07.244833][mission_dungeons][ok_button][idle] 5.57 seconds
[2022-08-08 23:37:12.823494][Task] <click> first_enemy
[2022-08-08 23:37:12.828376][mission_dungeons][first_enemy][click] (910.0, 363.0)
[2022-08-08 23:37:12.843025][mission_dungeons][first_enemy][idle] 4.88 seconds
[2022-08-08 23:37:17.733769][Task] <click> challenge_button
[2022-08-08 23:37:17.741581][mission_dungeons][challenge_button][click] (1133.0, 615.0)
[2022-08-08 23:37:17.758184][mission_dungeons][challenge_button][idle] 5.77 seconds
[2022-08-08 23:37:23.540091][Task] <click> my_team_button
[2022-08-08 23:37:23.544974][mission_dungeons][my_team_button][click] (1161.0, 120.0)
[2022-08-08 23:37:23.568413][mission_dungeons][my_team_button][idle] 3.81 seconds
[2022-08-08 23:37:27.390638][Task] <click> call_button
[2022-08-08 23:37:27.418960][mission_dungeons][call_button][click] (1029.0, 277.0)
[2022-08-08 23:37:27.432632][mission_dungeons][call_button][idle] 5.43 seconds
[2022-08-08 23:37:32.868572][Task] <click> attack_button
[2022-08-08 23:37:32.901775][mission_dungeons][attack_button][click] (1113.0, 601.0)
[2022-08-08 23:37:32.915448][mission_dungeons][attack_button][idle] 36.98 seconds
[2022-08-08 23:38:09.907043][Task] <click> next_button
[2022-08-08 23:38:09.916809][mission_dungeons][next_button][click] (1088.0, 652.0)
[2022-08-08 23:38:09.932435][mission_dungeons][next_button][idle] 5.61 seconds
[2022-08-09 23:08:36.834620][Task_List] ['receive_energy', 'mission_explore', 'mission_dungeons', 'mission_arena', 'mission_guild', 'shopping', 'mission_gashapon', 'mission_princess_arena', 'mission_complete']
[2022-08-09 23:08:36.844386][Task] initial
[2022-08-09 23:08:36.848331][Task] <click> blank_button
[2022-08-09 23:08:36.853205][initial][blank_button][click] (0, 5.0)
[2022-08-09 23:08:36.868420][initial][blank_button][idle] 10.78 seconds
[2022-08-09 23:08:42.771422][Task_List] ['receive_energy', 'mission_dungeons', 'shopping', 'mission_explore', 'mission_guild', 'mission_arena', 'mission_gashapon', 'mission_princess_arena', 'mission_complete']
[2022-08-09 23:08:42.779486][Task] initial
[2022-08-09 23:08:42.783388][Task] <click> blank_button
[2022-08-09 23:08:42.787295][initial][blank_button][click] (5.0, 0)
[2022-08-09 23:08:42.795107][initial][blank_button][idle] 11.62 seconds
[2022-08-09 23:08:54.432798][Task] receive_energy
[2022-08-09 23:08:54.463734][Task] <click> home_button
[2022-08-09 23:08:54.466663][receive_energy][home_button][click] (814.0, 694.0)
[2022-08-09 23:08:54.472522][receive_energy][home_button][idle] 7.35 seconds
[2022-08-09 23:09:01.827548][Task] <click> receive_button
[2022-08-09 23:09:01.831455][receive_energy][receive_button][click] (1204.0, 568.0)
[2022-08-09 23:09:01.838115][receive_energy][receive_button][idle] 5.1 seconds
[2022-08-09 23:09:06.941146][Task] <click> blank_button
[2022-08-09 23:09:06.974539][receive_energy][blank_button][click] (65.0, 47.0)
[2022-08-09 23:09:06.979383][receive_energy][blank_button][idle] 4.3 seconds
[2022-08-09 23:09:11.284693][Task] mission_dungeons
[2022-08-09 23:09:11.310317][Task] <click> adventure_button
[2022-08-09 23:09:11.313244][mission_dungeons][adventure_button][click] (630.0, 671.0)
[2022-08-09 23:09:11.320690][mission_dungeons][adventure_button][idle] 7.12 seconds
[2022-08-09 23:09:18.444539][Task] <click> dungeons_button
[2022-08-09 23:09:18.468687][mission_dungeons][dungeons_button][click] (1158.0, 173.0)
[2022-08-09 23:09:18.478614][mission_dungeons][dungeons_button][idle] 6.9 seconds
[2022-08-09 23:09:25.384373][Task] <click> last_extreme_button
[2022-08-09 23:09:25.430478][mission_dungeons][last_extreme_button][click] (1113.0, 331.0)
[2022-08-09 23:09:25.437327][mission_dungeons][last_extreme_button][idle] 4.51 seconds
[2022-08-09 23:09:29.951353][Task] <click> ok_button
[2022-08-09 23:09:29.975625][mission_dungeons][ok_button][click] (778.0, 567.0)
[2022-08-09 23:09:29.988629][mission_dungeons][ok_button][idle] 6.34 seconds
[2022-08-09 23:09:36.338582][Task] <click> first_enemy
[2022-08-09 23:09:36.346960][mission_dungeons][first_enemy][click] (903.0, 365.0)
[2022-08-09 23:09:36.359152][mission_dungeons][first_enemy][idle] 4.59 seconds
[2022-08-09 23:09:40.956617][Task] <click> challenge_button
[2022-08-09 23:09:41.095188][mission_dungeons][challenge_button][click] (1134.0, 600.0)
[2022-08-09 23:09:41.111322][mission_dungeons][challenge_button][idle] 6.05 seconds
[2022-08-09 23:09:47.182705][Task] <click> my_team_button
[2022-08-09 23:09:47.188488][mission_dungeons][my_team_button][click] (1149.0, 117.0)
[2022-08-09 23:09:47.201383][mission_dungeons][my_team_button][idle] 5.04 seconds
[2022-08-09 23:09:52.253555][Task] <click> call_button
[2022-08-09 23:09:52.270861][mission_dungeons][call_button][click] (1046.0, 279.0)
[2022-08-09 23:09:52.284149][mission_dungeons][call_button][idle] 3.89 seconds
[2022-08-09 23:09:56.180747][Task] <click> attack_button
[2022-08-09 23:09:56.219141][mission_dungeons][attack_button][click] (1106.0, 608.0)
[2022-08-09 23:09:56.231532][mission_dungeons][attack_button][idle] 35.47 seconds
[2022-08-09 23:10:31.711610][Task] <click> next_button
[2022-08-09 23:10:31.747728][mission_dungeons][next_button][click] (1121.0, 658.0)
[2022-08-09 23:10:31.760424][mission_dungeons][next_button][idle] 6.13 seconds
[2022-08-09 23:10:37.907888][Task] <click> blank_button
[2022-08-09 23:10:37.918325][mission_dungeons][blank_button][click] (58.0, 133.0)
[2022-08-09 23:10:37.933052][mission_dungeons][blank_button][idle] 8.5 seconds
[2022-08-09 23:10:46.439704][Task] <click> second_enemy
[2022-08-09 23:10:46.496241][mission_dungeons][second_enemy][click] (640.0, 345.0)
[2022-08-09 23:10:46.512321][mission_dungeons][second_enemy][idle] 4.73 seconds
[2022-08-09 23:10:51.251573][Task] <click> challenge_button
[2022-08-09 23:10:51.257433][mission_dungeons][challenge_button][click] (1133.0, 606.0)
[2022-08-09 23:10:51.278994][mission_dungeons][challenge_button][idle] 7.0 seconds
[2022-08-09 23:10:58.298776][Task] <click> attack_button
[2022-08-09 23:10:58.350345][mission_dungeons][attack_button][click] (1121.0, 597.0)
[2022-08-09 23:10:58.362621][mission_dungeons][attack_button][idle] 36.3 seconds
[2022-08-09 23:11:34.669732][Task] <click> next_button
[2022-08-09 23:11:34.684076][mission_dungeons][next_button][click] (1097.0, 660.0)
[2022-08-09 23:11:34.696772][mission_dungeons][next_button][idle] 6.09 seconds
[2022-08-09 23:11:40.792746][Task] <click> blank_button
[2022-08-09 23:11:40.840547][mission_dungeons][blank_button][click] (66.0, 145.0)
[2022-08-09 23:11:40.853376][mission_dungeons][blank_button][idle] 9.3 seconds
[2022-08-09 23:11:50.162253][Task] <click> third_enemy
[2022-08-09 23:11:50.167704][mission_dungeons][third_enemy][click] (297.0, 329.0)
[2022-08-09 23:11:50.179423][mission_dungeons][third_enemy][idle] 4.25 seconds
[2022-08-09 23:11:54.435296][Task] <click> challenge_button
[2022-08-09 23:11:54.441705][mission_dungeons][challenge_button][click] (1110.0, 609.0)
[2022-08-09 23:11:54.453424][mission_dungeons][challenge_button][idle] 7.94 seconds
[2022-08-09 23:12:02.404411][Task] <click> attack_button
[2022-08-09 23:12:02.414744][mission_dungeons][attack_button][click] (1113.0, 614.0)
[2022-08-09 23:12:02.433299][mission_dungeons][attack_button][idle] 36.09 seconds
[2022-08-09 23:12:38.535248][Task] <click> next_button
[2022-08-09 23:12:38.555051][mission_dungeons][next_button][click] (1119.0, 660.0)
[2022-08-09 23:12:38.571655][mission_dungeons][next_button][idle] 7.0 seconds
[2022-08-09 23:12:45.578647][Task] <click> blank_button
[2022-08-09 23:12:45.624377][mission_dungeons][blank_button][click] (68.0, 148.0)
[2022-08-09 23:12:45.643162][mission_dungeons][blank_button][idle] 8.69 seconds
[2022-08-09 23:12:54.338890][Task] <click> fourth_enemy
[2022-08-09 23:12:54.344750][mission_dungeons][fourth_enemy][click] (650.0, 331.0)
[2022-08-09 23:12:54.355492][mission_dungeons][fourth_enemy][idle] 5.95 seconds
[2022-08-09 23:13:00.312675][Task] <click> challenge_button
[2022-08-09 23:13:00.320488][mission_dungeons][challenge_button][click] (1107.0, 619.0)
[2022-08-09 23:13:00.342485][mission_dungeons][challenge_button][idle] 7.01 seconds
[2022-08-09 23:13:07.366110][Task] <click> attack_button
[2022-08-09 23:13:07.408466][mission_dungeons][attack_button][click] (1126.0, 604.0)
[2022-08-09 23:13:07.422049][mission_dungeons][attack_button][idle] 37.47 seconds
[2022-08-09 23:13:44.905489][Task] <click> next_button
[2022-08-09 23:13:44.959460][mission_dungeons][next_button][click] (1132.0, 656.0)
[2022-08-09 23:13:44.971489][mission_dungeons][next_button][idle] 5.16 seconds
[2022-08-09 23:13:50.137533][Task] <click> blank_button
[2022-08-09 23:13:50.143627][mission_dungeons][blank_button][click] (54.0, 139.0)
[2022-08-09 23:13:50.158145][mission_dungeons][blank_button][idle] 7.6 seconds
[2022-08-09 23:13:57.767408][Task] <click> retreat_button
[2022-08-09 23:13:57.813296][mission_dungeons][retreat_button][click] (1084.0, 566.0)
[2022-08-09 23:13:57.833902][mission_dungeons][retreat_button][idle] 3.92 seconds
[2022-08-09 23:14:01.782795][Task] <click> comfirm_button
[2022-08-09 23:14:01.788655][mission_dungeons][comfirm_button][click] (780.0, 490.0)
[2022-08-09 23:14:01.802164][mission_dungeons][comfirm_button][idle] 3.53 seconds
[2022-08-09 23:14:05.351505][Task] shopping
[2022-08-09 23:14:05.357366][Task] <click> main_button
[2022-08-09 23:14:05.362250][shopping][main_button][click] (128.0, 692.0)
[2022-08-09 23:14:05.371882][shopping][main_button][idle] 6.91 seconds
[2022-08-09 23:14:12.287410][Task] <click> shop_button
[2022-08-09 23:14:12.328273][shopping][shop_button][click] (820.0, 576.0)
[2022-08-09 23:14:12.336080][shopping][shop_button][idle] 5.1 seconds
[2022-08-09 23:14:17.443308][Task] <click> first_cargo
[2022-08-09 23:14:17.481328][shopping][first_cargo][click] (518.0, 198.0)
[2022-08-09 23:14:17.488595][shopping][first_cargo][idle] 3.95 seconds
[2022-08-09 23:14:21.445558][Task] <click> second_cargo
[2022-08-09 23:14:21.451373][shopping][second_cargo][click] (746.0, 204.0)
[2022-08-09 23:14:21.460741][shopping][second_cargo][idle] 2.86 seconds
[2022-08-09 23:14:24.327567][Task] <click> third_cargo
[2022-08-09 23:14:24.339409][shopping][third_cargo][click] (975.0, 196.0)
[2022-08-09 23:14:24.346245][shopping][third_cargo][idle] 2.96 seconds
[2022-08-09 23:14:27.314243][Task] <click> fourth_cargo
[2022-08-09 23:14:27.321593][shopping][fourth_cargo][click] (1200.0, 197.0)
[2022-08-09 23:14:27.329404][shopping][fourth_cargo][idle] 2.11 seconds
[2022-08-09 23:14:29.456900][Task] <click> buy_button
[2022-08-09 23:14:29.462699][shopping][buy_button][click] (974.0, 582.0)
[2022-08-09 23:14:29.470643][shopping][buy_button][idle] 3.62 seconds
[2022-08-09 23:14:33.096930][Task] <click> ok_button
[2022-08-09 23:14:33.106434][shopping][ok_button][click] (788.0, 633.0)
[2022-08-09 23:14:33.120465][shopping][ok_button][idle] 5.56 seconds
[2022-08-09 23:14:38.688477][Task] <click> blank_button
[2022-08-09 23:14:38.695312][shopping][blank_button][click] (187.0, 214.0)
[2022-08-09 23:14:38.706642][shopping][blank_button][idle] 4.48 seconds
[2022-08-09 23:14:43.192812][Task] mission_explore
[2022-08-09 23:14:43.244872][Task] <click> adventure_button
[2022-08-09 23:14:43.249364][mission_explore][adventure_button][click] (655.0, 675.0)
[2022-08-09 23:14:43.265648][mission_explore][adventure_button][idle] 6.25 seconds
[2022-08-09 23:14:49.526834][Task] <click> explore_button
[2022-08-09 23:14:49.533670][mission_explore][explore_button][click] (973.0, 187.0)
[2022-08-09 23:14:49.546374][mission_explore][explore_button][idle] 6.43 seconds
[2022-08-09 23:14:55.981322][Task] <click> exp_button
[2022-08-09 23:14:55.995570][mission_explore][exp_button][click] (789.0, 319.0)
[2022-08-09 23:14:56.004396][mission_explore][exp_button][idle] 7.75 seconds
[2022-08-09 23:15:03.763842][Task] <click> level_button
[2022-08-09 23:15:03.770374][mission_explore][level_button][click] (948.0, 209.0)
[2022-08-09 23:15:03.790399][mission_explore][level_button][idle] 7.26 seconds
[2022-08-09 23:15:11.056484][Task] <click> attack_button
[2022-08-09 23:15:11.066459][mission_explore][attack_button][click] (995.0, 438.0)
[2022-08-09 23:15:11.078766][mission_explore][attack_button][idle] 3.96 seconds
[2022-08-09 23:15:15.044838][Task] <click> ok_button
[2022-08-09 23:15:15.050698][mission_explore][ok_button][click] (789.0, 490.0)
[2022-08-09 23:15:15.057534][mission_explore][ok_button][idle] 8.98 seconds
[2022-08-09 23:15:24.043712][Task] <click> blank_button
[2022-08-09 23:15:24.048824][mission_explore][blank_button][click] (61.0, 147.0)
[2022-08-09 23:15:24.056532][mission_explore][blank_button][idle] 7.12 seconds
[2022-08-09 23:15:31.182482][Task] <click> level_button
[2022-08-09 23:15:31.209613][mission_explore][level_button][click] (949.0, 193.0)
[2022-08-09 23:15:31.223564][mission_explore][level_button][idle] 6.09 seconds
[2022-08-09 23:15:37.318744][Task] <click> attack_button
[2022-08-09 23:15:37.395445][mission_explore][attack_button][click] (1019.0, 439.0)
[2022-08-09 23:15:37.414702][mission_explore][attack_button][idle] 5.48 seconds
[2022-08-09 23:15:42.901383][Task] <click> ok_button
[2022-08-09 23:15:42.908940][mission_explore][ok_button][click] (771.0, 492.0)
[2022-08-09 23:15:42.916667][mission_explore][ok_button][idle] 8.13 seconds
[2022-08-09 23:15:51.053896][Task] <click> blank_button
[2022-08-09 23:15:51.076940][mission_explore][blank_button][click] (55.0, 147.0)
[2022-08-09 23:15:51.086698][mission_explore][blank_button][idle] 6.39 seconds
[2022-08-09 23:15:57.483713][Task] mission_guild
[2022-08-09 23:15:57.529758][Task] <click> main_button
[2022-08-09 23:15:57.537571][mission_guild][main_button][click] (119.0, 685.0)
[2022-08-09 23:15:57.547220][mission_guild][main_button][idle] 7.57 seconds
[2022-08-09 23:16:05.123572][Task] <click> guild_button
[2022-08-09 23:16:05.129431][mission_guild][guild_button][click] (922.0, 577.0)
[2022-08-09 23:16:05.138228][mission_guild][guild_button][idle] 6.91 seconds
[2022-08-09 23:16:12.054465][Task] <click> blank_button
[2022-08-09 23:16:12.086426][mission_guild][blank_button][click] (66.0, 135.0)
[2022-08-09 23:16:12.097529][mission_guild][blank_button][idle] 4.16 seconds
[2022-08-09 23:16:16.264739][Task] <click> friend_button
[2022-08-09 23:16:16.271410][mission_guild][friend_button][click] (302.0, 461.0)
[2022-08-09 23:16:16.286766][mission_guild][friend_button][idle] 6.51 seconds
[2022-08-09 23:16:22.804173][Task] <click> like_button
[2022-08-09 23:16:22.836576][mission_guild][like_button][click] (1108.0, 419.0)
[2022-08-09 23:16:22.845365][mission_guild][like_button][idle] 3.32 seconds
[2022-08-09 23:16:26.172093][Task] <click> blank_button
[2022-08-09 23:16:26.178521][mission_guild][blank_button][click] (67.0, 133.0)
[2022-08-09 23:16:26.186334][mission_guild][blank_button][idle] 5.99 seconds
[2022-08-09 23:16:32.183394][Task] mission_arena
[2022-08-09 23:16:32.226119][Task] <click> adventure_button
[2022-08-09 23:16:32.235103][mission_arena][adventure_button][click] (650.0, 678.0)
[2022-08-09 23:16:32.246843][mission_arena][adventure_button][idle] 5.56 seconds
[2022-08-09 23:16:37.813490][Task] <click> arena_button
[2022-08-09 23:16:37.821372][mission_arena][arena_button][click] (805.0, 560.0)
[2022-08-09 23:16:37.829061][mission_arena][arena_button][idle] 6.38 seconds
[2022-08-09 23:16:44.214969][Task] <click> blank_button
[2022-08-09 23:16:44.219618][mission_arena][blank_button][click] (51.0, 147.0)
[2022-08-09 23:16:44.229623][mission_arena][blank_button][idle] 4.84 seconds
[2022-08-09 23:16:49.075184][Task] <click> receive_button
[2022-08-09 23:16:49.081802][mission_arena][receive_button][click] (387.0, 460.0)
[2022-08-09 23:16:49.095177][mission_arena][receive_button][idle] 4.58 seconds
[2022-08-09 23:16:53.681530][Task] <click> blank_button
[2022-08-09 23:16:53.729154][mission_arena][blank_button][click] (59.0, 133.0)
[2022-08-09 23:16:53.735991][mission_arena][blank_button][idle] 4.64 seconds
[2022-08-09 23:16:58.381888][Task] <click> first_person
[2022-08-09 23:16:58.400213][mission_arena][first_person][click] (813.0, 238.0)
[2022-08-09 23:16:58.410331][mission_arena][first_person][idle] 3.18 seconds
[2022-08-09 23:17:01.596506][Task] <click> attack_button
[2022-08-09 23:17:01.636508][mission_arena][attack_button][click] (1105.0, 610.0)
[2022-08-09 23:17:01.661644][mission_arena][attack_button][idle] 8.04 seconds
[2022-08-09 23:17:09.706758][Task] <click> skip_button
[2022-08-09 23:17:09.720640][mission_arena][skip_button][click] (1229.0, 469.0)
[2022-08-09 23:17:09.730617][mission_arena][skip_button][idle] 8.72 seconds
[2022-08-09 23:17:18.456503][Task] <click> next_button
[2022-08-09 23:17:18.497253][mission_arena][next_button][click] (1134.0, 649.0)
[2022-08-09 23:17:18.507562][mission_arena][next_button][idle] 7.21 seconds
[2022-08-09 23:17:25.727501][Task] <click> blank_button
[2022-08-09 23:17:25.767254][mission_arena][blank_button][click] (58.0, 141.0)
[2022-08-09 23:17:25.776033][mission_arena][blank_button][idle] 4.51 seconds
[2022-08-09 23:17:30.293374][Task] <click> blank_button
[2022-08-09 23:17:30.314601][mission_arena][blank_button][click] (59.0, 146.0)
[2022-08-09 23:17:30.322414][mission_arena][blank_button][idle] 3.61 seconds
[2022-08-09 23:17:33.938843][Task] mission_gashapon
[2022-08-09 23:17:33.950466][Task] <click> gashapon_button
[2022-08-09 23:17:33.957849][mission_gashapon][gashapon_button][click] (987.0, 670.0)
[2022-08-09 23:17:33.968518][mission_gashapon][gashapon_button][idle] 6.69 seconds
[2022-08-09 23:17:40.673844][Task] <click> blank_button
[2022-08-09 23:17:40.680324][mission_gashapon][blank_button][click] (51.0, 134.0)
[2022-08-09 23:17:40.693218][mission_gashapon][blank_button][idle] 4.14 seconds
[2022-08-09 23:17:44.840049][Task] <click> normal_button
[2022-08-09 23:17:44.846901][mission_gashapon][normal_button][click] (1205.0, 102.0)
[2022-08-09 23:17:44.859551][mission_gashapon][normal_button][idle] 7.56 seconds
[2022-08-09 23:17:52.433580][Task] <click> free_button
[2022-08-09 23:17:52.439442][mission_gashapon][free_button][click] (975.0, 461.0)
[2022-08-09 23:17:52.457574][mission_gashapon][free_button][idle] 3.48 seconds
[2022-08-09 23:17:55.942665][Task] <click> ok_button
[2022-08-09 23:17:55.987569][mission_gashapon][ok_button][click] (778.0, 488.0)
[2022-08-09 23:17:55.999185][mission_gashapon][ok_button][idle] 11.28 seconds
[2022-08-09 23:18:07.287485][Task] <click> receive_button
[2022-08-09 23:18:07.292361][mission_gashapon][receive_button][click] (642.0, 593.0)
[2022-08-09 23:18:07.308867][mission_gashapon][receive_button][idle] 4.78 seconds
[2022-08-09 23:18:12.099404][Task] mission_princess_arena
[2022-08-09 23:18:12.153909][Task] <click> adventure_button
[2022-08-09 23:18:12.166381][mission_princess_arena][adventure_button][click] (658.0, 697.0)
[2022-08-09 23:18:12.179143][mission_princess_arena][adventure_button][idle] 6.04 seconds
[2022-08-09 23:18:18.229314][Task] <click> princess_arena_button
[2022-08-09 23:18:18.237142][mission_princess_arena][princess_arena_button][click] (1136.0, 557.0)
[2022-08-09 23:18:18.249830][mission_princess_arena][princess_arena_button][idle] 6.67 seconds
[2022-08-09 23:18:24.931328][Task] <click> blank_button
[2022-08-09 23:18:24.937572][mission_princess_arena][blank_button][click] (63.0, 142.0)
[2022-08-09 23:18:24.949181][mission_princess_arena][blank_button][idle] 5.84 seconds
[2022-08-09 23:18:30.799227][Task] <click> receive_button
[2022-08-09 23:18:30.807605][mission_princess_arena][receive_button][click] (400.0, 458.0)
[2022-08-09 23:18:30.829050][mission_princess_arena][receive_button][idle] 5.03 seconds
[2022-08-11 00:44:34.992611][Task_List] ['receive_energy', 'shopping', 'mission_guild', 'mission_gashapon', 'mission_dungeons', 'mission_arena', 'mission_explore', 'mission_princess_arena', 'mission_complete']
[2022-08-11 00:44:35.049684][Task] initial
